,airline,number_of_changes,origin_city_code,destination_country_code,search_weekday,depart_weekday,diff_days,distance,price,number_of_changes_category,airline_category,destination_category
6846,Turkish Airlines,1,MOW,US,2,1,258,9231.98,22866,1,Turkish Airlines,culture
6847,Pobeda,0,MOW,RU,2,3,253,906.06,2549,0,Pobeda,domestic
6848,Wizz Air,1,MOW,TR,2,5,241,2215.01,7107,1,Other,tourism
6849,Pobeda,0,MOW,RU,2,4,247,1162.99,2049,0,Pobeda,domestic
6850,Aeroflot,0,MOW,RU,2,1,244,982.85,5011,0,Aeroflot,domestic
6851,Aeroflot,1,MOW,US,2,5,262,9490.19,27615,1,Aeroflot,culture
6852,Wizz Air,1,MOW,IT,2,1,258,2383.39,6984,1,Other,culture
6853,Nordwind Airlines,0,MOW,RU,2,3,253,926.25,2025,0,Nordwind Airlines,domestic
6854,Wizz Air,1,MOW,ES,2,1,244,3023.07,5120,1,Other,tourism
6855,Pobeda,0,MOW,RU,2,1,237,730.24,2449,0,Pobeda,domestic
6856,Pobeda,0,MOW,RU,2,0,236,2138.86,3130,0,Pobeda,domestic
6857,S7 Airlines,0,MOW,RU,2,2,245,5010.31,14548,0,S7 Airlines,domestic
6858,S7 Airlines,2,MOW,DE,2,3,246,1653.57,9703,2,S7 Airlines,culture
6859,Pobeda,0,MOW,RU,2,1,251,2919.21,4299,0,Pobeda,domestic
6860,Pegasus Airlines,1,MOW,TR,2,0,243,1828.92,11721,1,Pegasus Airlines,tourism
6861,Wizz Air,2,MOW,ES,2,3,253,3123.35,4878,2,Other,tourism
6862,Pobeda,0,MOW,RU,2,0,236,1372.69,2749,0,Pobeda,domestic
6863,S7 Airlines,1,MOW,RU,2,3,253,4728.02,15433,1,S7 Airlines,domestic
6864,Pobeda,0,MOW,RU,2,6,256,1141.58,2749,0,Pobeda,domestic
6865,Pobeda,0,MOW,RU,2,4,247,1727.77,3999,0,Pobeda,domestic
6866,Uzbekistan Airways,0,MOW,UZ,2,1,237,3009.67,6760,0,Uzbekistan Airways,cis
6867,KLM,1,MOW,ES,2,1,237,3811.97,9440,1,Other,tourism
6868,Uzbekistan Airways,0,MOW,UZ,2,2,252,3012.66,7047,0,Uzbekistan Airways,cis
